id,unit,type,star,rate,freq,status,typeName
DI-F4-139,CM1-EQ,EQ-T35,5,0.600,3,meta_only,"삼차방정식의 근과 계수의 관계"
DI-F4-140,CM1-PL,PL-T34,5,0.570,3,meta_only,"인수분해(6) 인수 정리를 이용한 식의 인수분해"
DI-F4-146,CM1-EQ,EQ-T27,5,0.590,3,meta_only,"최댓값 또는 최솟값이 주어졌을 때 미정계수 구하기"
DI-F4-148,CM1-EQ,EQ-T14,5,0.480,3,meta_only,"이차식이 완전제곱식이 되는 조건"
DI-F4-149,CM1-PL,PL-T36,5,0.470,3,meta_only,"인수분해의 활용(3) 식의 값 구하기"
DI-F5-016,CM1-EQ,EQ-T23,5,0.410,3,meta_only,"이차함수의 그래프와 직선의 위치 관계"
DI-F5-018,CM2-GM,T25,5,0.460,3,meta_only,"접선의 길이"
DI-F5-023,CM2-GM,T07,5,0.370,3,meta_only,"점의 대칭이동"
DI-F5-039,CM1-EQ,EQ-T23,5,0.440,3,meta_only,"이차함수의 그래프와 직선의 위치 관계"
DI-F5-041,CM2-GM,T27,5,0.500,3,meta_only,"원 위의 점과 직선 사이의 거리의 최대·최소"
DI-F5-048,CM1-EQ,EQ-T26,5,0.390,3,meta_only,"제한된 범위에서의 이차함수의 최대·최소"
DI-F5-049,CM2-GM,T23,5,0.410,3,meta_only,"자취의 방정식(2)"
DI-F5-069,CM1-EQ,EQ-T57,5,0.470,3,meta_only,"해의 조건이 주어진 연립이차부등식"
DI-F5-078,CM1-PL,PL-T27,5,0.430,3,meta_only,"인수정리(2) 이차식으로 나누는 경우"
DI-F5-099,CM1-PL,PL-T20,5,0.510,3,meta_only,"나머지정리(2) 일차식으로 나누었을 때의 미정계수 구하기"
DI-F5-101,CM2-GM,T28,5,0.340,3,meta_only,"직선의 방정식(3) 두 점이 주어질 때"
DI-F5-120,CM1-EQ,EQ-T23,5,0.460,3,meta_only,"이차함수의 그래프와 직선의 위치 관계"
DI-F5-127,CM2-GM,T23,5,0.510,3,meta_only,"자취의 방정식(1) 길이의 비를 만족시키는 점이 나타내는 도형의 방정식"
DI-F5-128,CM1-EQ,EQ-T30,5,0.420,3,meta_only,"이차함수 최대·최소의 활용"
DI-F6-019,CM1-PL,PL-T10,5,0.440,3,meta_only,"다항식의 나눗셈(1) 몫과 나머지"
DI-F6-027,CM1-EQ,EQ-T49,5,0.320,3,meta_only,"연립일차방정식의 활용"
DI-F6-029,CM1-EQ,EQ-T40,5,0.410,3,meta_only,"연립이차방정식의 활용"
DI-F6-046,CM1-EQ,EQ-T23,5,0.440,3,meta_only,"이차함수의 그래프와 직선의 교점"
DI-F6-064,CM1-EQ,EQ-T55,5,0.540,3,meta_only,"이차부등식과 두 그래프의 위치 관계(1) 만나는 경우"
DI-F6-066,CM1-PL,PL-T10,5,0.350,3,meta_only,"다항식의 나눗셈(1) 몫과 나머지"
DI-F6-067,CM2-GM,T28,5,0.300,3,meta_only,"직선의 방정식(3) 두 점이 주어질 때"
DI-F6-069,CM2-GM,T11,5,0.480,3,meta_only,"평행이동과 대칭이동의 활용"
DI-F6-070,CM1-EQ,EQ-T30,5,0.420,3,meta_only,"이차함수 최대·최소의 활용"
DI-F6-073,CM2-ST,T18,5,0.500,3,meta_only,"유한집합의 원소의 개수"
DI-F6-077,CM2-GM,T20,5,0.500,3,meta_only,"외분"
DI-F6-078,CM1-PL,PL-T17,5,0.500,3,meta_only,"f(α)=f(β)=k를 만족시키는 이차식 f(x) 구하기"
DI-F6-079,CM2-GM,T24,5,0.340,3,meta_only,"원과 직선의 위치 관계"
DI-F6-093,CM1-EQ,EQ-T23,5,0.480,3,meta_only,"이차함수의 그래프와 직선의 교점"
DI-F6-098,CM1-EQ,EQ-T30,5,0.500,3,meta_only,"이차함수 최대·최소의 활용"
DI-F6-099,CM1-EQ,EQ-T40,5,0.510,3,meta_only,"대칭식으로 이루어진 연립이차방정식"
DI-F6-106,CM1-PL,PL-T09,5,0.510,3,meta_only,"곱셈 공식의 도형에의 활용"
DI-F6-108,CM1-EQ,EQ-T12,5,0.390,3,meta_only,"이차방정식의 활용"
DI-F6-123,CM2-RF,M03,5,0.300,3,meta_only,"무리수가 서로 같을 조건"
DI-F6-127,CM2-RF,M06,5,0.410,3,meta_only,"무리함수와 그 역함수의 교점 구하기"
DI-F6-128,CM2-GM,T11,5,0.480,3,meta_only,"도형의 평행이동과 대칭이동"
DI-F6-134,CM1-EQ,EQ-T40,5,0.490,3,meta_only,"대칭식으로 이루어진 연립이차방정식"
DI-F6-137,CM2-GM,T20,5,0.300,3,meta_only,"좌표평면 위의 선분의 내분점 구하기"
DI-F7-011,CM1-EQ,EQ-T22,5,0.480,3,meta_only,"이차함수의 그래프와 x축의 교점"
DI-F7-017,CM1-EQ,EQ-T49,5,0.310,3,meta_only,"연립일차방정식의 활용"
DI-F7-020,CM2-GM,T24,5,0.390,3,meta_only,"원과 직선의 위치 관계"
DI-F7-025,CM2-GM,T24,5,0.490,3,meta_only,"원과 직선의 위치 관계"
DI-F7-027,CM1-EQ,EQ-T30,5,0.360,3,meta_only,"이차함수 최대·최소의 활용"
DI-F7-055,CM1-EQ,EQ-T34,5,0.430,3,meta_only,"삼차방정식의 근의 조건"
DI-F7-056,CM1-EQ,EQ-T23,5,0.430,3,meta_only,"이차함수의 그래프와 직선의 교점"
DI-F7-066,CM2-GM,T20,5,0.500,3,meta_only,"외분"
DI-F7-067,CM2-RF,M03,5,0.500,3,meta_only,"무리식의 값 구하기"
DI-F7-082,CM1-EQ,EQ-T30,5,0.450,3,meta_only,"이차함수 최대·최소의 활용"
DI-F7-097,CM2-RF,R03,5,0.300,3,meta_only,"유리식의 값(4) 관계식이 주어질 때"
DI-F7-098,CM2-GM,T20,5,0.410,3,meta_only,"조건이 주어지는 경우의 선분의 내분점"
DI-F7-105,CM1-EQ,EQ-T13,5,0.460,3,meta_only,"계수가 문자인 이차방정식의 근의 판별"
DI-F7-106,CM1-EQ,EQ-T49,5,0.320,3,meta_only,"연립일차방정식의 활용"
DI-F7-121,CM2-ST,T02,5,0.300,3,meta_only,"집합의 표현 방법"
DI-F7-128,CM2-RF,M03,5,0.300,3,meta_only,"무리수가 서로 같을 조건"
DI-F7-131,CM1-PL,PL-T38,5,0.490,3,meta_only,"인수분해의 활용(4)"
DI-F8-015,CM2-GM,T20,5,0.300,3,meta_only,"외분"
DI-F8-017,CM2-GM,T14,5,0.440,3,meta_only,"대칭이동의 활용(1) 거리의 최솟값"
DI-F8-018,CM2-FN,T10,5,0.490,3,meta_only,"합성함수의 함숫값"
DI-F8-019,CM1-EQ,EQ-T05,5,0.510,3,meta_only,"켤레복소수의 성질을 이용한 식의 값 구하기"
DI-F8-024,CM2-GM,T22,5,0.510,3,meta_only,"점과 직선 사이의 거리의 활용"
DI-F8-047,CM2-GM,T19,5,0.400,3,meta_only,"좌표평면 위의 두 점 사이의 거리 구하기"
DI-F8-071,CM2-RF,R03,5,0.500,3,meta_only,"유리식의 값(4) 관계식이 주어질 때"
DI-F8-072,CM1-EQ,EQ-T08,5,0.490,3,meta_only,"복소수의 거듭제곱"
DI-F8-085,CM2-GM,T06,5,0.510,3,meta_only,"원의 평행이동"
DI-F8-095,CM1-EQ,EQ-T49,5,0.330,3,meta_only,"연립일차방정식의 활용"
DI-F9-011,CM1-PL,PL-T38,5,0.450,3,meta_only,"인수분해의 활용(4)"
DI-F9-014,CM1-EQ,EQ-T03,5,0.490,3,meta_only,"복소수가 주어질 때의 식의 값"
DI-F9-022,CM2-ST,T13,5,0.430,3,meta_only,"집합의 연산의 성질"
DI-F9-053,CM1-EQ,EQ-T49,5,0.310,3,meta_only,"연립일차방정식의 활용"
DI-F9-063,CM2-GM,T26,5,0.490,3,meta_only,"삼각형의 무게중심"
DI-F9-064,CM1-EQ,EQ-T49,5,0.490,3,meta_only,"연립일차방정식의 활용"
DI-F9-077,CM2-ST,T23,5,0.300,3,meta_only,"조건의 진리집합"
DI-F9-080,CM2-ST,T18,5,0.300,3,meta_only,"유한집합의 원소의 개수"
DI-F9-098,CM1-EQ,EQ-T32,5,0.430,3,meta_only,"공통부분이 있는 삼차방정식과 사차방정식의 풀이"
DI-F9-100,CM2-GM,T20,5,0.300,3,meta_only,"외분"
DI-F9-106,CM2-GM,T22,5,0.430,3,meta_only,"점과 직선 사이의 거리의 활용"
DI-F9-107,CM2-GM,T19,5,0.400,3,meta_only,"좌표평면 위의 두 점 사이의 거리 구하기"
